Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
AGRONOMY,1,81,80,100.0,10.442300000000001,81.0,99.76520000000001,1.62,1.9886272574466424
"CHEMISTRY, MEDICINAL",2,81,80,100.0,4.1015500000000005,40.5,97.71195,0.81,0.9943136287233212
CRITICAL CARE MEDICINE,2,80,82,100.0,3.5859000000000005,40.0,88.1035,1.085,0.9820381518255024
CRYSTALLOGRAPHY,1,78,83,100.0,13.266200000000001,78.0,99.83630000000001,2.12,1.9149743960597296
METALLURGY & METALLURGICAL ENGINEERING,2,78,83,100.0,4.5823,39.0,97.0441,1.06,0.9574871980298648
ZOOLOGY,4,69,85,100.0,3.54115,17.25,92.65537499999999,0.41000000000000003,0.4235039529747479
TROPICAL MEDICINE,4,67,86,100.0,2.0604750000000003,16.75,84.11477500000001,0.31000000000000005,0.41122847607692914
"MATERIALS SCIENCE, CERAMICS",1,63,87,100.0,6.086,63.0,99.19460000000001,1.26,1.5467100891251662
ENVIRONMENTAL STUDIES,2,59,88,100.0,3.5107500000000003,29.5,90.75815,0.8049999999999999,0.724253136971308
ORTHOPEDICS,1,54,89,100.0,8.689,54.0,99.66040000000001,1.47,1.3257515049644282
LIMNOLOGY,1,50,90,100.0,4.8798,50.0,98.4658,1.0,1.227547689781878
GEOLOGY,2,41,91,100.0,3.0295500000000004,20.5,93.13495,0.465,0.50329455281057
"PSYCHOLOGY, MULTIDISCIPLINARY",1,38,92,100.0,6.1149000000000004,38.0,98.5305,1.03,0.9329362442342273
"PSYCHOLOGY, DEVELOPMENTAL",1,33,93,100.0,4.3137,33.0,97.8172,0.9,0.8101814752560395
DERMATOLOGY,1,32,94,100.0,5.0834,32.0,98.0528,0.87,0.7856305214604019
FISHERIES,1,31,95,100.0,3.8785000000000003,31.0,96.7876,0.62,0.7610795676647644
ARCHAEOLOGY,1,27,96,100.0,9.9687,27.0,99.7625,0.73,0.6628757524822141
SPECTROSCOPY,3,26,97,66.66666666666666,1.283966666666667,8.666666666666666,56.564666666666675,0.19333333333333336,0.2127749328955255
BEHAVIORAL SCIENCES,2,25,98,100.0,1.7161,12.5,61.08175,0.325,0.3068869224454695
"PSYCHOLOGY, EXPERIMENTAL",1,22,99,100.0,1.9631,22.0,88.0473,0.44,0.5401209835040263
"PHYSICS, PARTICLES & FIELDS",4,21,100,75.0,0.408625,5.25,32.433075,0.10750000000000001,0.12889250742709718
BUSINESS,1,19,101,100.0,2.6349,19.0,90.05810000000001,0.52,0.46646812211711364
MATHEMATICAL & COMPUTATIONAL BIOLOGY,2,15,102,100.0,0.89225,7.5,68.9169,0.2,0.1841321534672817
ACOUSTICS,1,13,103,100.0,1.7872000000000001,13.0,83.7685,0.35000000000000003,0.31916239934328827
