Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,Impact Relative to World
"COMPUTER SCIENCE, INFORMATION SYSTEMS",1,8,128,100.0,0.9279000000000001,8.0,69.098,0.28,0.27792390520188737
URBAN STUDIES,1,8,128,100.0,1.5861,8.0,79.2936,0.28,0.27792390520188737
CRYSTALLOGRAPHY,1,7,132,100.0,1.1906,7.0,71.2457,0.25,0.24318341705165145
FAMILY STUDIES,1,7,132,100.0,1.0578,7.0,65.1363,0.18000000000000002,0.24318341705165145
LITERATURE,1,7,132,100.0,11.7257,7.0,98.9884,0.18000000000000002,0.24318341705165145
BUSINESS,2,6,135,50.0,11.57145,3.0,50.58825,0.91,0.10422146445070776
FOOD SCIENCE & TECHNOLOGY,1,4,136,100.0,4.6606000000000005,4.0,94.35220000000001,0.81,0.13896195260094368
GERIATRICS & GERONTOLOGY,1,3,137,100.0,2.1317,3.0,82.3708,0.91,0.10422146445070776
INDUSTRIAL RELATIONS & LABOR,1,3,137,100.0,0.9424,3.0,66.43780000000001,0.11,0.10422146445070776
HISTORY,1,2,139,100.0,5.7541,2.0,93.5043,0.23,0.06948097630047184

Filter Summary:
Dataset: Web of Science 25082021:073804 + ESCI
Schema:  Web of Science
="Domestic/International Collaboration:  All"
"Time Period:  [2016, 2020]"
Funding Data Source:  All Sources

"Exported date  Aug 25, 2021. "
"InCites dataset updated  2021-07-30. Includes Web of Science content indexed through 2021-06-30. "

